Country,Year,EV_market_share
Norway,2025,97.4
Sweden,2025,63.2
Belgium,2025,43.8
Denmark,2025,71.1
Finland,2025,56.8
Netherlands,2025,56.5
China,2025,54.0
Portugal,2025,38.4
Singapore,2025,45.0
Iceland,2025,80.0
Switzerland,2025,20.5
United Kingdom,2025,33.9
Vietnam,2025,42.0
Ireland,2025,34.0
France,2025,26.7
Romania,2025,31.8
Israel,2025,15.5
Germany,2025,30.0
Kazakhstan,2025,3.5
Austria,2025,17.0
Thailand,2025,40.2
Costa Rica (BEVs only),2025,25.6
Canada,2025,10.4
Greece,2025,6.1
Spain,2025,20.1
New Zealand,2025,10.7
Turkey,2025,17.7
United States,2025,13.5
Australia,2025,13.1
Latvia,2025,7.1
Uruguay,2025,20.2
Italy,2025,12.5
Uzbekistan,2025,11.0
South Korea,2025,11.0
Brazil,2025,5.0
Chile,2025,10.6
Japan,2025,2.0
Global average,2025,25.0
California,2025,29.1
Europe,2025,26.8
Hong Kong,2025,13.1
Norway,2024,91.6
Sweden,2024,58.4
Belgium,2024,52.3
Denmark,2024,51.5
Finland,2024,49.6
Netherlands,2024,48.4
China,2024,47.2
Portugal,2024,33.4
Singapore,2024,33.0
Iceland,2024,31.0
Switzerland,2024,28.0
United Kingdom,2024,28.2
Vietnam,2024,28.0
Ireland,2024,24.75
France,2024,25.4
Romania,2024,25.1
Israel,2024,24.5
Germany,2024,20.3
Kazakhstan,2024,20.0
Austria,2024,17.6
Thailand,2024,15.4
Costa Rica (BEVs only),2024,15.0
Canada,2024,14.6
Greece,2024,12.4
Spain,2024,12.4
New Zealand,2024,11.2
Turkey,2024,10.1
United States,2024,9.9
Australia,2024,9.65
Latvia,2024,9.5
Uruguay,2024,8.9
Italy,2024,7.5
Uzbekistan,2024,7.1
South Korea,2024,6.1
Colombia,2024,4.6
Brazil,2024,3.4
Chile,2024,2.3
Japan,2024,1.8
Global average,2024,22.0
Hong Kong,2024,90.8
India,2024,7.7
Norway,2023,90.4
Sweden,2023,59.8
Belgium,2023,40.7
Denmark,2023,46.1
Finland,2023,54.4
Netherlands,2023,44.0
China,2023,37.0
Portugal,2023,31.8
Singapore,2023,18.0
Iceland,2023,64.0
Switzerland,2023,30.1
United Kingdom,2023,23.9
Vietnam,2023,5.6
Ireland,2023,27.1
France,2023,26.0
Romania,2023,24.4
Israel,2023,18.0
Germany,2023,24.6
Kazakhstan,2023,18.0
Austria,2023,27.0
Thailand,2023,12.0
Costa Rica (BEVs only),2023,11.6
Canada,2023,10.8
Greece,2023,5.4
Spain,2023,11.9
New Zealand,2023,27.2
Turkey,2023,6.8
United States,2023,9.4
Australia,2023,8.1
Latvia,2023,10.0
Uruguay,2023,3.1
Italy,2023,8.6
South Korea,2023,9.3
Colombia,2023,3.0
Brazil,2023,2.4
Chile,2023,5.0
Japan,2023,3.6
Global average,2023,16.0
California,2023,24.8
Europe,2023,23.4
Hong Kong,2023,64.1
India,2023,6.38
Norway,2022,87.6
Sweden,2022,56.1
Belgium,2022,26.5
Denmark,2022,38.6
Finland,2022,37.5
Netherlands,2022,34.9
China,2022,30.0
Portugal,2022,21.7
Singapore,2022,11.7
Iceland,2022,56.1
Switzerland,2022,25.9
United Kingdom,2022,22.9
Vietnam,2022,1.0
Ireland,2022,22.2
France,2022,21.6
Romania,2022,21.7
Israel,2022,10.0
Germany,2022,31.4
Kazakhstan,2022,14.0
Austria,2022,22.0
Costa Rica (BEVs only),2022,7.3
Canada,2022,8.2
Greece,2022,2.8
Spain,2022,9.6
New Zealand,2022,19.7
Turkey,2022,1.2
United States,2022,6.8
Australia,2022,5.1
Latvia,2022,8.0
Uruguay,2022,1.9
Italy,2022,8.8
Colombia,2022,2.0
Brazil,2022,1.0
Chile,2022,4.5
Japan,2022,3.0
Global average,2022,14.0
California,2022,19.1
Europe,2022,22.9
Hong Kong,2022,60.0
India,2022,5.59
Norway,2021,86.2
Sweden,2021,43.3
Belgium,2021,18.4
Denmark,2021,35.2
Finland,2021,30.8
Netherlands,2021,29.8
China,2021,15.0
Portugal,2021,20.0
Singapore,2021,1.0
Iceland,2021,54.7
Switzerland,2021,22.5
United Kingdom,2021,18.6
Vietnam,2021,0.3
Ireland,2021,15.7
France,2021,18.3
Romania,2021,15.5
Israel,2021,3.8
Germany,2021,26.0
Kazakhstan,2021,9.0
Austria,2021,20.0
Costa Rica (BEVs only),2021,3.0
Canada,2021,6.6
Spain,2021,7.8
New Zealand,2021,8.2
Turkey,2021,0.1
United States,2021,4.0
Australia,2021,2.4
Latvia,2021,5.0
Uruguay,2021,1.1
Italy,2021,9.3
Chile,2021,3.0
Japan,2021,1.0
Global average,2021,8.6
California,2021,12.2
Europe,2021,19.0
Hong Kong,2021,23.0
India,2021,8.75
Norway,2020,74.7
Sweden,2020,32.2
Belgium,2020,10.7
Denmark,2020,16.4
Finland,2020,18.1
Netherlands,2020,24.6
China,2020,5.4
Portugal,2020,13.5
Singapore,2020,1.0
Iceland,2020,45.0
Switzerland,2020,14.3
United Kingdom,2020,10.7
Vietnam,2020,0.1
Ireland,2020,7.4
France,2020,11.2
Romania,2020,7.12
Israel,2020,0.6
Germany,2020,13.5
Austria,2020,9.5
Costa Rica (BEVs only),2020,3.0
Canada,2020,3.5
Spain,2020,4.8
New Zealand,2020,2.8
United States,2020,2.2
Australia,2020,0.78
Latvia,2020,2.5
Uruguay,2020,0.3
Italy,2020,4.3
Chile,2020,2.4
Japan,2020,0.6
Global average,2020,4.6
California,2020,7.6
Europe,2020,11.4
Hong Kong,2020,14.0
India,2020,0.7
Norway,2019,55.9
Sweden,2019,11.4
Belgium,2019,3.2
Denmark,2019,4.2
Finland,2019,6.9
Netherlands,2019,14.9
China,2019,4.9
Portugal,2019,5.7
Singapore,2019,1.0
Iceland,2019,22.6
Switzerland,2019,5.5
United Kingdom,2019,2.9
Ireland,2019,4.1
France,2019,2.8
Romania,2019,4.18
Israel,2019,0.1
Germany,2019,3.0
Austria,2019,3.5
Canada,2019,3.0
Spain,2019,1.4
New Zealand,2019,2.7
United States,2019,1.9
Australia,2019,0.6
Latvia,2019,1.0
Uruguay,2019,0.4
Italy,2019,0.6
Chile,2019,1.3
Japan,2019,0.9
Global average,2019,2.5
California,2019,7.8
Europe,2019,3.6
Hong Kong,2019,5.0
India,2019,1.0
Norway,2018,49.1
Sweden,2018,8.2
Belgium,2018,2.5
Denmark,2018,2.0
Finland,2018,4.7
Netherlands,2018,6.2
China,2018,4.2
Portugal,2018,3.6
Singapore,2018,1.0
Iceland,2018,17.2
Switzerland,2018,3.2
United Kingdom,2018,2.53
Ireland,2018,1.57
France,2018,2.11
Romania,2018,2.89
Germany,2018,1.9
Austria,2018,2.6
Canada,2018,2.2
Spain,2018,0.9
New Zealand,2018,1.4
United States,2018,2.1
Australia,2018,0.3
Latvia,2018,0.5
Italy,2018,0.26
Chile,2018,1.2
Japan,2018,1.0
Global average,2018,2.1
California,2018,7.6
Europe,2018,2.5
India,2018,3.0
